grid_id;description;event_year;event_date;restore_date;nerc_region;demand_loss_mw;affected_customers;;;;
1;Severe Weather Thunderstorms;2014;30/06/2014;01/07/2014;RFC;null;127000;;;;
2;Severe Weather Thunderstorms;2014;30/06/2014;01/07/2014;MRO;424;120000;;;;
3;Fuel Supply Emergency Coal;2014;27/06/2014;null;MRO;null;null;;;;
4;Physical Attack Vandalism;2014;24/06/2014;24/06/2014;SERC;null;null;;;;
5;Physical Attack Vandalism;2014;19/06/2014;19/06/2014;SERC;null;null;;;;
6;Physical Attack Vandalism;2014;18/06/2014;18/06/2014;WECC;null;null;;;;
7;Severe Weather Thunderstorms;2014;18/06/2014;20/06/2014;RFC;null;138802;;;;
8;Severe Weather Thunderstorms;2014;15/06/2014;15/06/2014;MRO;null;55951;;;;
9;Suspected Physical Attack;2014;12/06/2014;12/06/2014;ERCOT;null;null;;;;
10;Physical Attack Vandalism;2014;11/06/2014;11/06/2014;SERC;null;null;;;;
11;Suspected Physical Attack;2014;11/06/2014;11/06/2014;WECC;null;null;;;;
12;Severe Weather Thunderstorms;2014;10/06/2014;11/06/2014;RFC;null;66383;;;;
13;Electrical System Islanding;2014;09/06/2014;09/06/2014;WECC;null;null;;;;
14;Severe Weather Thunderstorms;2014;07/06/2014;08/06/2014;SERC;217;65000;;;;
15;Fuel Supply Emergency Coal;2014;06/06/2014;null;ERCOT;null;null;;;;
16;Severe Weather Thunderstorms;2014;05/06/2014;07/06/2014;SERC;494;38500;;;;
17;Severe Weather Thunderstorms;2014;05/06/2014;05/06/2014;SERC;null;56475;;;;
18;Electrical System Islanding;2014;03/06/2014;03/06/2014;WECC;338;null;;;;
19;Physical Attack Vandalism;2014;03/06/2014;03/06/2014;ERCOT;null;null;;;;
20;Physical Attack Vandalism;2014;27/05/2014;27/05/2014;WECC;null;null;;;;
21;Electrical System Separation Islanding;2014;26/05/2014;26/05/2014;WECC;null;null;;;;
22;Physical Attack Vandalism;2014;23/05/2014;25/05/2014;SERC;null;null;;;;
23;Physical Attack Vandalism;2014;20/05/2014;20/05/2014;WECC;null;null;;;;
24;Public Appeal to Reduce Electricity Usage Wild Fires;2014;16/05/2014;16/05/2014;WECC;3900;1400000;;;;
25;Public Appeal to Reduce Electricity Usage Wild Fires;2014;15/05/2014;null;WECC;3300;1400000;;;;
26;Suspected Physical Attack;2014;15/05/2014;15/05/2014;RFC;null;null;;;;
27;Public Appeal to Reduce Electricity Usage Wild Fires;2014;14/05/2014;null;WECC;null;426;;;;
28;Physical Attack Vandalism;2014;12/05/2014;12/05/2014;WECC;null;null;;;;
29;Physical Attack Vandalism;2014;11/05/2014;11/05/2014;MRO;null;null;;;;
30;Severe Weather Heavy Winds;2014;09/05/2014;11/05/2014;RFC;null;56000;;;;
31;Physical Attack;2014;08/05/2014;08/05/2014;WECC;null;null;;;;
32;Physical Attack;2014;08/05/2014;08/05/2014;SERC;null;null;;;;
33;Severe Weather Thunderstorms;2014;30/04/2014;30/04/2014;SERC;296;89000;;;;
34;Severe Weather Thunderstorms;2014;29/04/2014;29/04/2014;SERC;355;106648;;;;
35;Severe Weather Thunderstorms;2014;29/04/2014;01/05/2014;SERC;null;57000;;;;
36;Electrical System Separation Islanding;2014;27/04/2014;null;WECC;9750;4000000;;;;
37;Physical Attack Vandalism;2014;27/04/2014;27/04/2014;WECC;null;null;;;;
38;Physical Attack Vandalism;2014;25/04/2014;25/04/2014;RFC;null;null;;;;
39;Electrical System Separation Islanding;2014;24/04/2014;24/04/2014;WECC;null;null;;;;
40;Load shedding of 100 Megawatts;2014;23/04/2014;23/04/2014;SERC;163;28000;;;;
41;Severe Weather;2014;12/04/2014;15/04/2014;RFC;null;164000;;;;
42;Severe Weather Thunderstorms;2014;12/04/2014;14/04/2014;RFC;null;50000;;;;
43;Physical Attack Vandalism;2014;08/04/2014;08/04/2014;WECC;null;null;;;;
44;Voltage Reduction;2014;08/04/2014;08/04/2014;PR;null;null;;;;
45;Severe Weather Wind;2014;04/04/2014;04/04/2014;SERC;null;57200;;;;
46;Fuel Supply Emergency Coal;2014;03/04/2014;null;TRE;null;null;;;;
47;Fuel Supply Emergency Coal;2014;03/04/2014;09/04/2014;MRO;null;null;;;;
48;System Wide Voltage Reduction;2014;31/03/2014;31/03/2014;PR;null;null;;;;
49;Electrical System Separation Islanding;2014;26/03/2014;26/03/2014;WECC;null;null;;;;
50;Physical Attack;2014;26/03/2014;10/04/2014;MRO;null;null;;;;
51;Physical Attack Vandalism;2014;24/03/2014;24/03/2014;WECC;null;null;;;;
52;Suspected Cyber Attack;2014;20/03/2014;20/03/2014;NPCC;null;null;;;;
53;Physical Attack Sabatoge;2014;17/03/2014;18/03/2014;WECC;null;null;;;;
54;Physical Attack Vandalism;2014;14/03/2014;14/03/2014;MRO;null;null;;;;
55;Severe Weather High Winds;2014;12/03/2014;13/03/2014;SERC;250;61377;;;;
56;Suspected Physical Attack;2014;11/03/2014;13/03/2014;MRO;null;null;;;;
57;Severe Weather Winter Storm;2014;07/03/2014;07/03/2014;SERC;1500;370900;;;;
58;Physical Attack;2014;05/03/2014;05/03/2014;WECC;null;null;;;;
59;Fuel Supply Emergency Coal;2014;04/03/2014;17/03/2014;MRO;null;null;;;;
60;Suspected Physical Attack;2014;03/03/2014;03/03/2014;NPCC;null;null;;;;
61;Severe Weather Winter Storm;2014;03/03/2014;03/03/2014;SERC;null;65904;;;;
62;Fuel Supply Emergency Hydro;2014;03/03/2014;03/03/2014;WECC;630;null;;;;
63;Public Appeal due to Severe Weather Cold;2014;02/03/2014;04/03/2014;TRE;null;null;;;;
64;Severe Weather ThunderstormsHigh Winds;2014;21/02/2014;21/02/2014;SERC;221;66445;;;;
65;Severe Weather SnowIce;2014;20/02/2014;21/02/2014;SERC;null;66000;;;;
66;Physical Attack Vandalism;2014;18/02/2014;18/02/2014;WECC;null;null;;;;
67;Physical Attack Vandalism;2014;14/02/2014;14/02/2014;WECC;null;null;;;;
68;Severe Weather SnowIce;2014;12/02/2014;15/02/2014;SERC;null;200000;;;;
69;Physical Attack Vandalism;2014;12/02/2014;12/02/2014;NPCC;null;null;;;;
70;Severe Weather SnowIce;2014;12/02/2014;15/02/2014;SERC;700;120124;;;;
71;Severe Weather SnowIce;2014;12/02/2014;15/02/2014;SERC;1246;373835;;;;
72;Public Appeal to Reduce Electricity Usage;2014;07/02/2014;07/02/2014;TRE;null;null;;;;
73;Public Appeal to Reduce Electricity Usage;2014;07/02/2014;08/02/2014;TRE;null;null;;;;
74;Fuel Supply Emergency Coal;2014;07/02/2014;21/03/2014;NPCC;675;null;;;;
75;Fuel Supply Emergency Natural Gas;2014;06/02/2014;06/02/2014;WECC;4000;null;;;;
76;Public Appeal to Reduce Electricity Usage;2014;06/02/2014;06/02/2014;TRE;null;null;;;;
77;Fuel Supply Emergency Natural Gas;2014;06/02/2014;06/02/2014;WECC;611;null;;;;
78;Fuel Supply Emergency Natural Gas;2014;06/02/2014;06/02/2014;WECC;160;null;;;;
79;Public Appeal to Reduce Electricity Usage;2014;06/02/2014;07/02/2014;TRE;null;null;;;;
80;Severe Weather SnowIce;2014;05/02/2014;09/02/2014;RFC;null;144000;;;;
81;Severe Weather SnowIce;2014;05/02/2014;09/02/2014;RFC;null;101580;;;;
82;Severe Weather Ice;2014;05/02/2014;05/02/2014;RFC;800;181000;;;;
83;Fuel Supply Emergency Coal;2014;05/02/2014;23/02/2014;NPCC;300;null;;;;
84;Severe Weather SnowIce;2014;05/02/2014;05/02/2014;RFC;null;715000;;;;
85;Severe Weather SnowIce;2014;05/02/2014;07/02/2014;RFC;null;62159;;;;
86;Physical Attack Vandalism;2014;30/01/2014;null;WECC;null;null;;;;
87;Physical Attack Vandalism;2014;29/01/2014;29/01/2014;MRO;null;null;;;;
88;Public Appeal due to Severe Weather Cold;2014;27/01/2014;28/01/2014;RFC;null;null;;;;
89;Physical Attack;2014;26/01/2014;null;RFC;null;null;;;;
90;Physical Attack Vandalism;2014;26/01/2014;27/01/2014;WECC;null;null;;;;
91;Physical Attack Vandalism;2014;25/01/2014;25/01/2014;MRO;null;null;;;;
92;Physical Attack Vandalism;2014;24/01/2014;24/01/2014;MRO;null;null;;;;
93;Fuel Supply Emergency Coal;2014;24/01/2014;09/04/2014;RFC;null;null;;;;
94;Physical Attack Vandalism;2014;23/01/2014;24/01/2014;WECC;null;null;;;;
95;Public Appeal due to Severe Weather Cold;2014;23/01/2014;24/01/2014;SERC;null;null;;;;
96;Public Appeal due to Severe Weather Cold;2014;23/01/2014;24/01/2014;SERC;null;null;;;;
97;Public Appeal due to Severe Weather Cold;2014;23/01/2014;24/01/2014;RFC;null;null;;;;
98;Physical Attack Vandalism;2014;22/01/2014;22/01/2014;RFC;null;null;;;;
99;Physical Attack Vandalism;2014;22/01/2014;22/01/2014;MRO;null;null;;;;
100;Suspected Physical Attack;2014;22/01/2014;23/01/2014;RFC;null;null;;;;
